config,params,acc_mean,acc_sd,f1_mean,f1_sd,train_time_s_mean,train_time_s_sd,n
ex1_gru_u16,1670,88.836,1.167,88.737,1.098,82.21,4.63,3
ex1_gru_u32,4758,89.82,0.444,89.911,0.387,88.71,2.03,3
ex1_gru_u64,15542,90.533,1.088,90.528,1.083,120.74,7.65,3
ex1_lstm_u16,2038,87.807,1.527,87.717,1.544,65.59,3.42,3
ex1_lstm_u32,6006,89.243,1.001,89.269,1.01,66.29,1.44,3
ex1_lstm_u64,20086,90.544,0.627,90.552,0.621,85.49,20.41,3
ex1_rnn_u16,790,66.927,2.307,65.197,2.617,38.84,3.18,3
ex1_rnn_u32,1974,74.098,5.972,72.94,7.009,40.11,0.66,3
ex1_rnn_u64,5878,73.238,6.683,72.593,7.204,41.18,2.36,3
ex3_gru_L2,11094,89.583,0.176,89.563,0.142,229.38,18.34,3
ex3_lstm_L2,14326,90.657,0.896,90.649,0.984,132.25,3.78,3
ex3_rnn_L2,4054,69.087,9.638,66.921,11.949,80.69,3.2,3
ex4_bilstm_u32,11894,89.424,1.692,89.46,1.711,79.89,2.08,3
mirror_4to8,52631,89.44,2.172,75.979,3.672,30.44,1.36,3,(token_acc; seq_acc columns)
reverse_6to3,52631,100.0,0.0,100.0,0.0,28.48,2.31,3,(token_acc; seq_acc columns)
reverse_6to6,52631,98.767,0.827,95.604,3.777,31.08,1.17,3,(token_acc; seq_acc columns)
